"Meme Monday","Meme Monday!  Today's cover image comes from last week's thread.  DEV is an inclusive space! Humor in...","https://dev.to/ben/meme-monday-4efm","discuss, watercooler, jokes"
"Who's hiring (February 2025)","Developer advocates, product specialists, or technical writers?  If you're looking for a new...","https://dev.to/fmerian/whos-hiring-february-2025-a19","career, devrel, writing, opensource"
"Attending Tech Conferences With a Toddler: A DevRel Mom’s Story","Introduction   My career didn't have to stop because I became a mother; if anything, my...","https://dev.to/vonagedev/attending-tech-conferences-with-a-toddler-a-devrel-moms-story-41np","devrel"
"Congrats to the Agent.ai Challenge Winners!","The wait is over! We are excited to announce the winners of the Agent.ai Challenge.  From meal...","https://dev.to/devteam/congrats-to-the-agentai-challenge-winners-5eg5","devchallenge, agentaichallenge, ai, machinelearning"
"Deploy Gemini-powered LangChain applications on GKE","Learn how to leverage Google Kubernetes Engine (GKE) to deploy an AI-powered LangChain application backed by Gemini.","https://dev.to/googlecloud/deploy-gemini-powered-langchain-applications-on-gke-42la","kubernetes, ai, langchain, googlecloud"
"The Future of...","Hey folks! We wanted to let you know about our new subforem called Future. This is a dedicated space...","https://dev.to/devteam/the-future-of-4ml4","forem, ai, science, blockchain"
"Derpify.js – a tool for these trying times…","Derpify is a JavaScript method to randomly upper and lowercase letters","https://dev.to/codepo8/derpifyjs-a-tool-for-these-trying-times-4gmg","derp, javascript, stringmanipulation"
"New DEV++ Deal: 50% Off Trueguard. Early-bird pricing ends this month!","We're excited to announce our newest DEV++ membership deal!                  Trueguard    Trueguard...","https://dev.to/devteam/new-dev-deal-50-off-trueguard-early-bird-pricing-ends-this-month-4igk","webdev, career, frontend, devops"
"Building a RESTful API with ASP.NET Core, Swagger, and Neon","In this guide, we'll walk through the process of developing a RESTful API using ASP.NET Core,...","https://dev.to/neon-postgres/building-a-restful-api-with-aspnet-core-swagger-and-neon-9el","webdev, postgressql, programming, tutorial"
"Yay! I created my first Portfolio! 🎉","After months of hard work, I'm finally launching my portfolio to show the world.  I've always...","https://dev.to/anmolbaranwal/yay-i-created-my-first-portfolio-375","portfolio, nextjs, showdev, programming"
"Qwen 2.5 Max vs. DeepSeek V3 (R1) Benchmark","Hi Everyone, I would like to compare Qwen 2.5 Max with DeepSeek V3 (R1) with benchmark details.      ...","https://dev.to/mehmetakar/qwen-25-max-vs-deepseek-v3-r1-benchmark-49be","deepseek, qwen, deepseekvsqwen, ai"
"Personal update: I'm joining Bucket.co","A post by flo merian","https://dev.to/fmerian/personal-update-im-joining-bucketco-3b2c","career, startup"
"Identify Unknowns, Weaknesses, and Risks in AI","There's a lot that can go wrong with AI. Let's talk about how to minimize that risk.","https://dev.to/leading-edje/identify-unknowns-weaknesses-and-risks-in-ai-1gi6","ai, projects, projectmanagement, riskmanagement"
"What was your win this week!?","👋👋👋👋  Looking back on your week -- what was something you're proud of?  All wins count -- big or...","https://dev.to/devteam/what-was-your-win-this-week-odp","weeklyretro, discuss"
"Introducing Langflow.new: Frictionless AI","Langflow is DataStax’s flagship product for building generative AI flows and agents. Today, we’re...","https://dev.to/datastax/introducing-langflownew-frictionless-ai-42m4","programming, ai, langflow"
"Principles of Web Accessibility","Heydon Pickering shared a set high-level guidelines on how to approach web accessibility","https://dev.to/alvaromontoro/principles-of-web-accessibility-1n78","webdev, a11y"
"Report on the current state of Web Game Development in 2024 is out!","The results of the Gamedev.js Survey 2024 that was conducted last month, at the end of 2024, were...","https://dev.to/end3r/report-on-the-current-state-of-web-game-development-in-2024-is-out-12jd","report, gamedev, gamedevjs, surveys"
"Is there Any Unique Project Ideas left?","Hi dev! We all know that to become a good dev we need to be unique in this competitive world and we...","https://dev.to/lakshita_kumawat/is-there-any-unique-project-ideas-left-1jl3","developers, programming, help, discuss"
"Automated reasoning and generative AI: Harness creativity with formal verifications","The term "artificial intelligence" (AI) has an interesting origin story. In the summer of 1956, a...","https://dev.to/aws/automated-reasoning-and-generative-ai-harness-creativity-with-formal-verifications-o6","ai, aws, machinelearning, security"
"What was your win this week?","👋👋👋👋  Looking back on your week -- what was something you're proud of?  All wins count -- big or...","https://dev.to/devteam/what-was-your-win-this-week-2ek","weeklyretro, discuss"
"Top 7 Featured DEV Posts of the Week","Welcome to this week's Top 7, where the DEV editorial team handpicks their favorite posts from the...","https://dev.to/devteam/top-7-featured-dev-posts-of-the-week-3ob4","top7"
"Meme Monday","Meme Monday!  Today's cover image comes from last week's thread.  DEV is an inclusive space! Humor in...","https://dev.to/ben/meme-monday-419k","discuss, watercooler, jokes"
"Go Beyond the Basics: Connecting Compute to Object Storage with the Official S3 Clients","Fastly Compute has consistently supported developers through its SDK with strong APIs for persistence...","https://dev.to/fastly/go-beyond-the-basics-connecting-compute-to-object-storage-with-the-official-s3-clients-4l9p","fastly, serverless, webassembly, s3"
"How to Use the Langflow API in Node.js","Langflow is a fantastic low-code tool for building generative AI flows and agents. Once you've built...","https://dev.to/datastax/how-to-use-the-langflow-api-in-nodejs-2a12","node, langflow, genai"
"The Best SQLite Browser","Hello again — it's Brandon, your friend from Outerbase, and today I'm back with another exciting...","https://dev.to/burcs/the-best-db-browser-for-sqlite-2pj4","database, programming, webdev, beginners"
"Building Hounty: Baby steps","I've been building software for sixteen years. I've built countless websites, mobile apps, backend...","https://dev.to/valeriavg/building-an-app-baby-steps-2jb7","startup, devjournal, webdev"
"Congrats to the GitHub Copilot 1-Day Build Challenge Winners!","Today’s the day! We are excited to announce the winners of the GitHub Copilot Challenge.  With over...","https://dev.to/devteam/congrats-to-the-github-copilot-1-day-build-challenge-winners-4iok","devchallenge, githubchallenge, ai, webdev"
"AI, but at What Cost? Breakdown of AI’s Carbon Footprint","Listen to this article on Substack  Artificial Intelligence is exciting—the technological...","https://dev.to/tnahrf/ai-but-at-what-cost-breakdown-of-ais-carbon-footprint-4gf9","ai, development, discuss, machinelearning"
"DeepSeek-R1 on Cursor with Ollama","So guys, there are many options using local llm but the DeepSeek-R1 is drop a weeks ago. If you want...","https://dev.to/basstimam/deepseek-r1-on-cursor-with-ollama-1pph","cursor, ai, deepseek, llm"
"Why I Decided to Stop Working with React.js in 2025","After years of working with React, I’ve decided to move on. Here’s why React isn’t my framework of choice anymore.","https://dev.to/holasoymalva/why-i-decided-to-stop-working-with-reactjs-in-2025-4d1l","javascript, react, node, programming"
"Understanding Neural Networks with Ruby","Neural networks are a fundamental part of modern artificial intelligence and machine learning. They...","https://dev.to/daviducolo/understanding-neural-networks-with-ruby-2n1d","ai, machinelearning, ruby, computerscience"
"Top 7 Featured DEV Posts of the Week","Welcome to this week's Top 7, where the DEV editorial team handpicks their favorite posts from the...","https://dev.to/devteam/top-7-featured-dev-posts-of-the-week-gk6","top7"
"DeepSeek Model on Tiananmen Square Censorship","There's a lot of posts and news about DeepSeek filtering political topics like Tiananmen Square and I...","https://dev.to/jeramos/deepseek-model-does-not-censor-tiananmen-square-2kcb","ai, deepseek"
"Run DeepSeek-R1 on Your Laptop with Ollama","Yesterday, DeepSeek released a series of very powerful language models including DeepSeek R1 and a...","https://dev.to/shayy/run-deepseek-locally-on-your-laptop-37hl","ai, llm, tutorial, productivity"
"Exploring User Privacy in Ollama: Are Local LLMs Truly Private?","Listen to this article on Substack  Ollama is a startup that offers an open-source tool for running...","https://dev.to/tnahrf/exploring-user-privacy-in-ollama-are-local-llms-truly-private-4g13","ai, machinelearning, cybersecurity, opensource"
"How to Use Deepseek API and Enable Streaming Output for Debugging","Login to Deepseek Open Platform   First, log in to the Deepseek Open Platform to obtain the...","https://dev.to/auden/how-to-use-deepseek-api-and-enable-streaming-output-for-debugging-1ah9","ai, deepseek, programming, api"
"My friend created this AI Agent that generates Podcast from Tweets - Loved it!","PodcastX - on demand Podcast &amp; Page generator AI Agent from...","https://dev.to/robinit/my-friend-created-this-ai-agent-that-generates-podcast-from-tweets-loved-it-4ck1","devchallenge, agentaichallenge, ai, machinelearning"
"How to access DeepSeek r1?","Many people are struggling to get access to DeepSeek r1 at the moment because of the rate limits and...","https://dev.to/punkpeye/how-to-access-deepseek-r1-44na","ai, deepseek"
"Meme Monday","Meme Monday!  Today's cover image comes from last week's thread.  DEV is an inclusive space! Humor in...","https://dev.to/ben/meme-monday-38kh","discuss, watercooler, jokes"
"Responsible Innovation: Open Source Best Practices for Sustainable AI","Accelerate AI without sacrificing ethics. Discover red teaming, open source, and an AI Bill of Materials for secure, transparent AI development.","https://dev.to/bekahhw/responsible-innovation-open-source-best-practices-for-sustainable-ai-jei","ai"
"RAG - Implementing the docs commands","This is the fourth article of a series in which I am building an open source RAG CLI tool. In the...","https://dev.to/this-is-learning/rag-implementing-the-docs-commands-3mfa","ai, rag, cli, typescript"
"X Profile Roaster 🌶️🔥❤️‍🔥","This is a submission for the Agent.ai Challenge: Assembly of Agents (See Details)           What I...","https://dev.to/divya4879/x-profile-roaster-1ca0","devchallenge, agentaichallenge, ai, machinelearning"
"Tailwind CSS 4.0 Is Here: What You Need to Know","Tailwind CSS 4.0 is here, and it's packed with updates that make styling your web projects faster,...","https://dev.to/shayy/tailwind-css-40-is-here-what-you-need-to-know-484h","webdev, css, tailwindcss, javascript"
"Will AI Replace Your Job? How You Can Stay Ahead","The rapid evolution of artificial intelligence (AI) has left many professionals questioning their job...","https://dev.to/proxyos/will-ai-replace-your-job-how-you-can-stay-ahead-20ab","ai, career, discuss, webdev"
"Creating An AI Agent For Kubernetes Performance Optimization","Instead of the continuous buzz/hype/notion/complete lie that “AI is going to take engineering jobs”,...","https://dev.to/thenjdevopsguy/creating-an-ai-agent-for-kubernetes-performance-optimization-2nl9","kubernetes, ai, devops, cloud"
"Exploring OpenAI Operator","What Is Operator?   Have you ever wished you could push off repetitive online tasks to...","https://dev.to/burcs/exploring-openai-operator-your-ai-powered-browser-assistant-3dj2","ai, webdev, database"
"What was your win this week?","👋👋👋👋  Looking back on your week -- what was something you're proud of?  All wins count -- big or...","https://dev.to/devteam/what-was-your-win-this-week-5j6","weeklyretro, discuss"
"What was your win this week?!","👋👋👋👋  Looking back on your week -- what was something you're proud of?  All wins count -- big or...","https://dev.to/devteam/what-was-your-win-this-week-2eei","weeklyretro, discuss"
